date,target,year,month,day,day_of_week,hour,lag_1,lag_2,rolling_mean,rolling_std,expanding_mean,expanding_std,sqrt_transform,log_transform,boxcox_transform,moving_average
2020-02-01,31,2020,2,1,5,0,77.0,25.0,55.714285714285715,25.34241691784934,48.6875,25.881164529815017,5.5677643628300215,3.4339872044851463,14.404112178171808,54.42857142857143
2020-02-02,1,2020,2,2,6,0,31.0,77.0,49.42857142857143,32.801713079538715,47.24242424242424,26.79205841176437,1.0,0.0,0.0,55.714285714285715
2020-02-03,94,2020,2,3,0,0,1.0,31.0,49.142857142857146,32.33382424762328,48.61764705882353,27.574708115032397,9.695359714832659,4.543294782270004,33.016845697201944,49.42857142857143
2020-02-04,18,2020,2,4,1,0,94.0,1.0,44.42857142857143,34.36013747962961,47.74285714285714,27.654744149052977,4.242640687119285,2.8903717578961645,9.389094747155276,49.142857142857146
2020-02-05,36,2020,2,5,2,0,18.0,94.0,40.285714285714285,33.19495084956086,47.416666666666664,27.326988229848634,6.0,3.58351893845611,16.15300798923567,44.42857142857143
2020-02-06,85,2020,2,6,3,0,36.0,18.0,48.857142857142854,36.200499865004495,48.432432432432435,27.644107811551756,9.219544457292887,4.442651256490317,30.671326082780293,40.285714285714285
2020-02-07,65,2020,2,7,4,0,85.0,36.0,47.142857142857146,34.90667830768477,48.86842105263158,27.400109540747284,8.06225774829855,4.174387269895637,25.170481262582108,48.857142857142854
2020-02-08,57,2020,2,8,5,0,65.0,85.0,50.857142857142854,34.280356724264955,49.07692307692308,27.06851406045954,7.54983443527075,4.04305126783455,22.831865332464492,47.142857142857146
2020-02-09,70,2020,2,9,6,0,57.0,65.0,60.714285714285715,26.619005025947715,49.6,26.923252746678635,8.366600265340756,4.248495242049359,26.588223710483256,50.857142857142854
2020-02-10,17,2020,2,10,0,0,70.0,57.0,49.714285714285715,26.480900574529095,48.80487804878049,27.06771094144749,4.123105625617661,2.833213344056216,8.96442708485293,60.714285714285715
2020-02-11,1,2020,2,11,1,0,17.0,70.0,47.285714285714285,30.368373272832624,47.666666666666664,27.73451373347873,1.0,0.0,0.0,49.714285714285715
2020-02-12,48,2020,2,12,2,0,1.0,17.0,49.0,29.96108587262262,47.674418604651166,27.402399034905997,6.928203230275509,3.871201010907891,20.07954154212804,47.285714285714285
2020-02-13,56,2020,2,13,3,0,48.0,1.0,44.857142857142854,25.880678580932212,47.86363636363637,27.110961405487075,7.483314773547883,4.02535169073515,22.532839130946833,49.0
2020-02-14,78,2020,2,14,4,0,56.0,48.0,46.714285714285715,27.95063675908109,48.53333333333333,27.175021953658444,8.831760866327848,4.356708826689592,28.79527663003187,44.857142857142854
2020-02-15,83,2020,2,15,5,0,78.0,56.0,50.42857142857143,31.095857938837792,49.28260869565217,27.347689761032843,9.1104335791443,4.418840607796598,30.14019503776326,46.714285714285715
2020-02-16,62,2020,2,16,6,0,83.0,78.0,49.285714285714285,30.395801715117866,49.5531914893617,27.112333556839356,7.874007874011811,4.127134385045092,24.304188512175486,50.42857142857143
2020-02-17,28,2020,2,17,0,0,62.0,83.0,50.857142857142854,28.684656592149125,49.104166666666664,27.002158765813235,5.291502622129181,3.332204510175204,13.314288685944925,49.285714285714285
2020-02-18,40,2020,2,18,1,0,28.0,62.0,56.42857142857143,19.79778727414713,48.91836734693877,26.751041050376184,6.324555320336759,3.6888794541139363,17.50009167715883,50.857142857142854
2020-02-19,23,2020,2,19,2,0,40.0,28.0,52.857142857142854,23.483530196207536,48.4,26.729178430917713,4.795831523312719,3.1354942159291497,11.416095964269688,56.42857142857143
2020-02-20,58,2020,2,20,3,0,23.0,40.0,53.142857142857146,23.540239105473372,48.588235294117645,26.49466094939751,7.615773105863909,4.060443010546419,23.129325690521892,52.857142857142854
2020-02-21,32,2020,2,21,4,0,58.0,23.0,46.57142857142857,21.801048467578667,48.26923076923077,26.33428793351567,5.656854249492381,3.4657359027997265,14.760271326577312,53.142857142857146
2020-02-22,50,2020,2,22,5,0,32.0,58.0,41.857142857142854,15.17046001750957,48.301886792452834,26.08092797551231,7.0710678118654755,3.912023005428146,20.70364675964728,46.57142857142857
2020-02-23,61,2020,2,23,6,0,50.0,32.0,41.714285714285715,14.952305125679716,48.53703703703704,25.891437327894,7.810249675906654,4.110873864173311,24.0126548700147,41.857142857142854
2020-02-24,81,2020,2,24,0,0,61.0,50.0,49.285714285714285,19.55943323747978,49.127272727272725,26.02139756648615,9.0,4.394449154672439,29.605219874495116,41.714285714285715
2020-02-25,51,2020,2,25,1,0,81.0,61.0,50.857142857142854,19.126147646860936,49.160714285714285,25.784968690879005,7.14142842854285,3.9318256327243257,21.012889948001355,49.285714285714285
2020-02-26,49,2020,2,26,2,0,51.0,81.0,54.57142857142857,14.864467059144157,49.1578947368421,25.553717561306172,7.0,3.8918202981106265,20.392547085209852,50.857142857142854
2020-02-27,50,2020,2,27,3,0,49.0,51.0,53.42857142857143,14.864467059144154,49.172413793103445,25.32881164473658,7.0710678118654755,3.912023005428146,20.70364675964728,54.57142857142857
2020-02-28,14,2020,2,28,4,0,50.0,49.0,50.857142857142854,19.89496227213121,48.57627118644068,25.523622182294194,3.7416573867739413,2.6390573296152584,7.642571437102055,53.42857142857143
2020-02-29,65,2020,2,29,5,0,14.0,50.0,53.0,20.583164641683926,48.85,25.39506491493767,8.06225774829855,4.174387269895637,25.170481262582108,50.857142857142854
2020-03-01,76,2020,3,1,6,0,65.0,14.0,55.142857142857146,22.266780723973657,49.295081967213115,25.421345533688207,8.717797887081348,4.330733340286331,28.250133542616197,53.0
2020-03-02,89,2020,3,2,0,0,76.0,65.0,56.285714285714285,23.956309438324656,49.935483870967744,25.71143202249296,9.433981132056603,4.48863636973214,31.722518149354418,55.142857142857146
2020-03-03,97,2020,3,3,1,0,89.0,76.0,62.857142857142854,28.198277556312885,50.682539682539684,26.183487407158335,9.848857801796104,4.574710978503383,33.78353730228489,56.285714285714285
2020-03-04,13,2020,3,4,2,0,97.0,89.0,57.714285714285715,33.861060653373364,50.09375,26.398484053397087,3.605551275463989,2.5649493574615367,7.1835942450215216,62.857142857142854
2020-03-05,5,2020,3,5,3,0,13.0,97.0,51.285714285714285,39.38999147716878,49.4,26.781990217308348,2.23606797749979,1.6094379124341003,2.9809549301314164,57.714285714285715
2020-03-06,2,2020,3,6,4,0,5.0,13.0,49.57142857142857,41.48838047316037,48.68181818181818,27.20812044559157,1.4142135623730951,0.6931471805599453,0.8924017632797059,51.285714285714285
2020-03-07,12,2020,3,7,5,0,2.0,5.0,42.0,43.01162633521312,48.134328358208954,27.370574512846353,3.4641016151377544,2.4849066497880004,6.713917075686249,49.57142857142857
2020-03-08,7,2020,3,8,6,0,12.0,2.0,32.142857142857146,41.81079833180485,47.529411764705884,27.619736934039235,2.6457513110645907,1.9459101490553132,4.153044884881179,42.0
2020-03-09,73,2020,3,9,0,0,7.0,12.0,29.857142857142858,38.48994921373875,47.89855072463768,27.58683878843861,8.54400374531753,4.290459441148391,27.424289662278778,32.142857142857146
2020-03-10,14,2020,3,10,1,0,73.0,7.0,18.0,24.657656011875815,47.41428571428571,27.684293070543355,3.7416573867739413,2.6390573296152584,7.642571437102055,29.857142857142858
2020-03-11,70,2020,3,11,2,0,14.0,73.0,26.142857142857142,31.259284335103608,47.732394366197184,27.61622594804877,8.366600265340756,4.248495242049359,26.588223710483256,18.0
2020-03-12,39,2020,3,12,3,0,70.0,14.0,31.0,30.044411571316623,47.611111111111114,27.44036071066017,6.244997998398398,3.6635616461296463,17.16725613405588,26.142857142857142
2020-03-13,96,2020,3,13,4,0,39.0,70.0,44.42857142857143,35.444121011610854,48.273972602739725,27.83146714001807,9.797958971132712,4.564348191467836,33.528772459717906,31.0
2020-03-14,98,2020,3,14,5,0,96.0,39.0,56.714285714285715,37.191909002336736,48.945945945945944,28.23817094657508,9.899494936611665,4.584967478670572,34.03751738861114,44.42857142857143
2020-03-15,14,2020,3,15,6,0,98.0,96.0,57.714285714285715,35.69647174775256,48.48,28.33551872864906,3.7416573867739413,2.6390573296152584,7.642571437102055,56.714285714285715
2020-03-16,23,2020,3,16,0,0,14.0,98.0,50.57142857142857,37.102817246390444,48.14473684210526,28.297327999827555,4.795831523312719,3.1354942159291497,11.416095964269688,57.714285714285715
2020-03-17,78,2020,3,17,1,0,23.0,14.0,59.714285714285715,34.373993491758135,48.532467532467535,28.315694186302785,8.831760866327848,4.356708826689592,28.79527663003187,50.57142857142857
2020-03-18,39,2020,3,18,2,0,78.0,23.0,55.285714285714285,34.8219963323677,48.41025641025641,28.15192360267416,6.244997998398398,3.6635616461296463,17.16725613405588,59.714285714285715
2020-03-19,42,2020,3,19,3,0,39.0,78.0,55.714285714285715,34.60594498885169,48.32911392405063,27.980176828580795,6.48074069840786,3.7376696182833684,18.158398126844915,55.285714285714285
2020-03-20,74,2020,3,20,4,0,42.0,39.0,52.57142857142857,31.16545706845505,48.65,27.95027229776102,8.602325267042627,4.30406509320417,27.700679993133743,55.714285714285715
2020-03-21,29,2020,3,21,5,0,74.0,42.0,42.714285714285715,24.628670864897025,48.407407407407405,27.860715074176476,5.385164807134504,3.367295829986474,13.681277306208875,52.57142857142857
2020-03-22,2,2020,3,22,6,0,29.0,74.0,41.0,27.23967694375245,47.84146341463415,28.15848862745647,1.4142135623730951,0.6931471805599453,0.8924017632797059,42.714285714285715
2020-03-23,37,2020,3,23,0,0,2.0,29.0,43.0,26.191601707417572,47.71084337349398,28.011552547285113,6.082762530298219,3.6109179126442243,16.49380506785418,41.0
2020-03-24,8,2020,3,24,1,0,37.0,2.0,33.0,23.860706890897653,47.23809523809524,28.177415141190878,2.8284271247461903,2.0794415416798357,4.70039718811372,43.0
2020-03-25,3,2020,3,25,2,0,8.0,37.0,27.857142857142858,26.124245261369506,46.71764705882353,28.417219697749104,1.7320508075688772,1.0986122886681098,1.6545857045650314,33.0
2020-03-26,61,2020,3,26,3,0,3.0,8.0,30.571428571428573,28.698763869181626,46.883720930232556,28.291515504143703,7.810249675906654,4.110873864173311,24.0126548700147,27.857142857142858
2020-03-27,1,2020,3,27,4,0,61.0,3.0,20.142857142857142,22.981358905487998,46.35632183908046,28.553489996233075,1.0,0.0,0.0,30.571428571428573
2020-03-28,12,2020,3,28,5,0,1.0,61.0,17.714285714285715,22.786796511095854,45.96590909090909,28.62417949981479,3.4641016151377544,2.4849066497880004,6.713917075686249,20.142857142857142
2020-03-29,66,2020,3,29,6,0,12.0,1.0,26.857142857142858,27.73342490827366,46.19101123595506,28.54019350944717,8.12403840463596,4.189654742026425,25.45656900142539,17.714285714285715
2020-03-30,72,2020,3,30,0,0,66.0,12.0,31.857142857142858,32.59564680254386,46.477777777777774,28.509500792817825,8.48528137423857,4.276666119016055,27.146763970363896,26.857142857142858
2020-03-31,24,2020,3,31,1,0,72.0,66.0,34.142857142857146,31.173859623240777,46.23076923076923,28.44842386693541,4.898979485566356,3.1780538303479458,11.804896256618658,31.857142857142858
2020-04-01,92,2020,4,1,2,0,24.0,72.0,46.857142857142854,34.34350288593449,46.72826086956522,28.691271889835658,9.591663046625438,4.5217885770490405,32.501648850135595,34.142857142857146
2020-04-02,68,2020,4,2,3,0,92.0,24.0,47.857142857142854,34.92099927659847,46.956989247311824,28.62004237626926,8.246211251235321,4.219507705176107,26.02488677335457,46.857142857142854
2020-04-03,81,2020,4,3,4,0,68.0,92.0,59.285714285714285,29.73614122979136,47.319148936170215,28.68149632648141,9.0,4.394449154672439,29.605219874495116,47.857142857142854
2020-04-04,25,2020,4,4,5,0,81.0,68.0,61.142857142857146,26.523125578939467,47.084210526315786,28.62028114329355,5.0,3.2188758248682006,12.188877268429023,59.285714285714285
2020-04-05,51,2020,4,5,6,0,25.0,81.0,59.0,26.670833007863397,47.125,28.47205462794777,7.14142842854285,3.9318256327243257,21.012889948001355,61.142857142857146
2020-04-06,35,2020,4,6,0,0,51.0,25.0,53.714285714285715,27.323459308283603,47.0,28.350117577651535,5.916079783099616,3.5553480614894135,15.809365846684306,59.0
2020-04-07,100,2020,4,7,1,0,35.0,51.0,64.57142857142857,28.61734405832211,47.54081632653061,28.707256300022728,10.0,4.605170185988092,34.54316460556474,53.714285714285715
2020-04-08,29,2020,4,8,2,0,100.0,35.0,55.57142857142857,28.45966234782807,47.35353535353536,28.621140014700394,5.385164807134504,3.367295829986474,13.681277306208875,64.57142857142857
2020-04-09,81,2020,4,9,3,0,29.0,100.0,57.42857142857143,29.79852984548706,47.69,28.67431011560802,9.0,4.394449154672439,29.605219874495116,55.57142857142857
2020-04-10,23,2020,4,10,4,0,81.0,29.0,49.142857142857146,30.212737774149577,47.445544554455445,28.636157300701065,4.795831523312719,3.1354942159291497,11.416095964269688,57.42857142857143
2020-04-11,39,2020,4,11,5,0,23.0,81.0,51.142857142857146,28.77747134726848,47.36274509803921,28.50630960751202,6.244997998398398,3.6635616461296463,17.16725613405588,49.142857142857146
2020-04-12,99,2020,4,12,6,0,39.0,23.0,58.0,33.98529093593289,47.86407766990291,28.81892370651186,9.9498743710662,4.59511985013459,34.290723107181705,51.142857142857146
2020-04-13,23,2020,4,13,0,0,99.0,39.0,56.285714285714285,35.60296937857053,47.625,28.78213695622669,4.795831523312719,3.1354942159291497,11.416095964269688,58.0
2020-04-14,24,2020,4,14,1,0,23.0,99.0,45.42857142857143,31.389261129974287,47.4,28.736066857897207,4.898979485566356,3.1780538303479458,11.804896256618658,56.285714285714285
2020-04-15,54,2020,4,15,2,0,24.0,23.0,49.0,30.621343319107797,47.4622641509434,28.606084776728345,7.3484692283495345,3.9889840465642745,21.929941950475495,45.42857142857143
2020-04-16,43,2020,4,16,3,0,54.0,24.0,43.57142857142857,27.177546754978597,47.42056074766355,28.474098585357066,6.557438524302,3.7612001156935624,18.48402145737314,49.0
2020-04-17,59,2020,4,17,4,0,43.0,54.0,48.714285714285715,26.01739344947458,47.52777777777778,28.362624588007524,7.681145747868608,4.07753744390572,23.425255194403793,43.57142857142857
2020-04-18,68,2020,4,18,5,0,59.0,43.0,52.857142857142854,26.51684100987255,47.71559633027523,28.299028822204946,8.246211251235321,4.219507705176107,26.02488677335457,48.714285714285715
2020-04-19,72,2020,4,19,6,0,68.0,59.0,49.0,19.798989873223352,47.93636363636364,28.26391912439294,8.48528137423857,4.276666119016055,27.146763970363896,52.857142857142854
2020-04-20,90,2020,4,20,0,0,72.0,68.0,58.57142857142857,21.274845419392598,48.31531531531532,28.41701858265474,9.486832980505138,4.499809670330265,31.983089241136394,49.0
2020-04-21,56,2020,4,21,1,0,90.0,72.0,63.142857142857146,15.170460017509708,48.38392857142857,28.29804231464959,7.483314773547883,4.02535169073515,22.532839130946833,58.57142857142857
2020-04-22,91,2020,4,22,2,0,56.0,90.0,68.42857142857143,17.6904601679093,48.76106194690266,28.455251315594246,9.539392014169456,4.51085950651685,32.24279536481923,63.142857142857146
2020-04-23,100,2020,4,23,3,0,91.0,56.0,76.57142857142857,17.14503954362273,49.21052631578947,28.73266270144886,10.0,4.605170185988092,34.54316460556474,68.42857142857143
2020-04-24,36,2020,4,24,4,0,100.0,91.0,73.28571428571429,22.45524649693476,49.095652173913045,28.632877040165802,6.0,3.58351893845611,16.15300798923567,76.57142857142857
2020-04-25,66,2020,4,25,5,0,36.0,100.0,73.0,22.54624876411459,49.241379310344826,28.55128739643806,8.12403840463596,4.189654742026425,25.45656900142539,73.28571428571429
2020-04-26,24,2020,4,26,6,0,66.0,36.0,66.14285714285714,29.214314821268612,49.02564102564103,28.523572084439795,4.898979485566356,3.1780538303479458,11.804896256618658,73.0
2020-04-27,71,2020,4,27,0,0,24.0,66.0,63.42857142857143,27.4581933300861,49.21186440677966,28.47336488027695,8.426149773176359,4.2626798770413155,26.868082385760363,66.14285714285714
2020-04-28,29,2020,4,28,1,0,71.0,24.0,59.57142857142857,30.41302978909507,49.04201680672269,28.412934198993334,5.385164807134504,3.367295829986474,13.681277306208875,63.42857142857143
2020-04-29,54,2020,4,29,2,0,29.0,71.0,54.285714285714285,27.072213834571492,49.083333333333336,28.296920084604782,7.3484692283495345,3.9889840465642745,21.929941950475495,59.57142857142857
2020-04-30,96,2020,4,30,3,0,54.0,29.0,53.714285714285715,25.966095109548093,49.47107438016529,28.4997293496404,9.797958971132712,4.564348191467836,33.528772459717906,54.285714285714285
2020-05-01,15,2020,5,1,4,0,96.0,54.0,50.714285714285715,29.346858353801636,49.18852459016394,28.552787699425796,3.872983346207417,2.70805020110221,8.09183282891957,53.714285714285715
2020-05-02,58,2020,5,2,5,0,15.0,96.0,49.57142857142857,28.80310829787384,49.260162601626014,28.44662456520407,7.615773105863909,4.060443010546419,23.129325690521892,50.714285714285715
2020-05-03,25,2020,5,3,6,0,58.0,15.0,49.714285714285715,28.657252053155702,49.064516129032256,28.41439630979592,5.0,3.2188758248682006,12.188877268429023,49.57142857142857
2020-05-04,6,2020,5,4,0,0,25.0,58.0,40.42857142857143,31.042213961298692,48.72,28.5605186543671,2.449489742783178,1.791759469228055,3.581689877249706,49.714285714285715
2020-05-05,80,2020,5,5,1,0,6.0,25.0,47.714285714285715,33.77728174238956,48.96825396825397,28.582214472062585,8.94427190999916,4.382026634673881,29.336252336218582,40.42857142857143
2020-05-06,30,2020,5,6,2,0,80.0,6.0,44.285714285714285,34.24769717666813,48.818897637795274,28.518280776682392,5.477225575051661,3.4011973816621555,14.044497654720024,47.714285714285715
2020-05-07,28,2020,5,7,3,0,30.0,80.0,34.57142857142857,25.715476162920126,48.65625,28.465322873616106,5.291502622129181,3.332204510175204,13.314288685944925,44.285714285714285
2020-05-08,91,2020,5,8,4,0,28.0,30.0,45.42857142857143,31.474101220194488,48.98449612403101,28.59796334972016,9.539392014169456,4.51085950651685,32.24279536481923,34.57142857142857
2020-05-09,41,2020,5,9,5,0,91.0,28.0,43.0,30.994623189622207,48.92307692307692,28.495509066707,6.4031242374328485,3.713572066704308,17.8304462249154,45.42857142857143
2020-05-10,20,2020,5,10,6,0,41.0,91.0,42.285714285714285,31.53154127596834,48.70229007633588,28.49796069802149,4.47213595499958,2.995732273553991,10.217888583454242,43.0
2020-05-11,23,2020,5,11,0,0,20.0,41.0,44.714285714285715,28.80806765308569,48.50757575757576,28.476988490138826,4.795831523312719,3.1354942159291497,11.416095964269688,42.285714285714285
2020-05-12,53,2020,5,12,1,0,23.0,20.0,40.857142857142854,24.828938569262082,48.54135338345865,28.371590378029907,7.280109889280518,3.970291913552122,21.625993436098682,44.714285714285715
2020-05-13,15,2020,5,13,2,0,53.0,23.0,38.714285714285715,26.51235111989809,48.291044776119406,28.412859692271677,3.872983346207417,2.70805020110221,8.09183282891957,40.857142857142854
2020-05-14,89,2020,5,14,3,0,15.0,53.0,47.42857142857143,31.88446404785641,48.592592592592595,28.522653028174222,9.433981132056603,4.48863636973214,31.722518149354418,38.714285714285715
2020-05-15,48,2020,5,15,4,0,89.0,15.0,41.285714285714285,25.61714455668498,48.588235294117645,28.41686264858721,6.928203230275509,3.871201010907891,20.07954154212804,47.42857142857143
2020-05-16,2,2020,5,16,5,0,48.0,89.0,35.714285714285715,29.61820546957723,48.24817518248175,28.590614724451562,1.4142135623730951,0.6931471805599453,0.8924017632797059,41.285714285714285
2020-05-17,54,2020,5,17,6,0,2.0,48.0,40.57142857142857,29.398736610366676,48.289855072463766,28.49028593537756,7.3484692283495345,3.9889840465642745,21.929941950475495,35.714285714285715
2020-05-18,72,2020,5,18,0,0,54.0,2.0,47.57142857142857,30.33621127111483,48.460431654676256,28.458020490664957,8.48528137423857,4.276666119016055,27.146763970363896,40.57142857142857
2020-05-19,17,2020,5,19,1,0,72.0,54.0,42.42857142857143,32.253460500940264,48.23571428571429,28.47985801291442,4.123105625617661,2.833213344056216,8.96442708485293,47.57142857142857
2020-05-20,81,2020,5,20,2,0,17.0,72.0,51.857142857142854,32.54447506325548,48.46808510638298,28.5117903410124,9.0,4.394449154672439,29.605219874495116,42.42857142857143
2020-05-21,40,2020,5,21,3,0,81.0,17.0,44.857142857142854,28.204187463498936,48.40845070422535,28.419390775502986,6.324555320336759,3.6888794541139363,17.50009167715883,51.857142857142854
2020-05-22,22,2020,5,22,4,0,40.0,81.0,41.142857142857146,29.407643969035046,48.22377622377623,28.405122425469486,4.69041575982343,3.091042453358316,11.02220220616371,44.857142857142854
2020-05-23,37,2020,5,23,5,0,22.0,40.0,46.142857142857146,24.148351023265693,48.145833333333336,28.32107835201511,6.082762530298219,3.6109179126442243,16.49380506785418,41.142857142857146
2020-05-24,34,2020,5,24,6,0,37.0,22.0,43.285714285714285,24.246747450014027,48.04827586206896,28.247008453817518,5.830951894845301,3.5263605246161616,15.462772546329218,46.142857142857146
2020-05-25,71,2020,5,25,0,0,34.0,37.0,43.142857142857146,24.05153197773876,48.205479452054796,28.21345186821819,8.426149773176359,4.2626798770413155,26.868082385760363,43.285714285714285
2020-05-26,38,2020,5,26,1,0,71.0,34.0,46.142857142857146,21.412057128547705,48.136054421768705,28.129261188497583,6.164414002968976,3.6375861597263857,16.831856607803964,43.142857142857146
2020-05-27,11,2020,5,27,2,0,38.0,71.0,36.142857142857146,18.578020808010102,47.88513513513514,28.199127609569732,3.3166247903554,2.3978952727983707,6.2323642140930415,46.142857142857146
2020-05-28,59,2020,5,28,3,0,11.0,38.0,38.857142857142854,20.52176544897774,47.95973154362416,28.118446190066415,7.681145747868608,4.07753744390572,23.425255194403793,36.142857142857146
2020-05-29,76,2020,5,29,4,0,59.0,11.0,46.57142857142857,23.114621223063864,48.14666666666667,28.117296658189833,8.717797887081348,4.330733340286331,28.250133542616197,38.857142857142854
2020-05-30,55,2020,5,30,5,0,76.0,59.0,49.142857142857146,22.87231639215533,48.19205298013245,28.028964835633413,7.416198487095663,4.007333185232471,22.23221065603533,46.57142857142857
2020-05-31,49,2020,5,31,6,0,55.0,76.0,51.285714285714285,21.89911935607067,48.19736842105263,27.93607638681311,7.0,3.8918202981106265,20.392547085209852,49.142857142857146
2020-06-01,90,2020,6,1,0,0,49.0,55.0,54.0,25.612496949731412,48.470588235294116,28.048374289958364,9.486832980505138,4.499809670330265,31.983089241136394,51.285714285714285
2020-06-02,96,2020,6,2,1,0,90.0,49.0,62.285714285714285,28.761747082506943,48.77922077922078,28.217698695150254,9.797958971132712,4.564348191467836,33.528772459717906,54.0
